Titulo,Precio,Precio Oferta,Editorial,Descuento,Formato,Autor,URL Libro,Idioma,Pagínas,ISBN,Origen,Encuadernación,Año,Dimen Largo,Dimen Ancho,Genero,Total Reviews,Valoración,Estado,Unidades,Imagen URL
El Buzón de las Impuras,25900,19430,Umbriel,0.25,Libro Físico,Francisca Solar García,https://www.buscalibre.cl/libro-el-buzon-de-las-impuras/9789566196778/p/58773218,Español,576,9789566196778,Chile,Tapa Blanda,2024,15.00,23.00,Ficción,72,5.0,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/36/65/3665b7d148187a1063e75ff18a520ee7.jpg
Limpia,15000,12750,Penguin Random House Grupo Editorial,0.15,Libro Físico,Alia Trabucco Zerán,https://www.buscalibre.cl/libro-limpia/9789566058458/p/54355857,Español,228,9789566058458,Chile,Tapa Blanda,2022,15.00,23.00,Chile; Ficción literaria,27,4.5,Libro Nuevo,40,https://images.cdn3.buscalibre.com/fit-in/360x360/d2/df/d2dfff4d8138c7d3921d76f2e574073e.jpg
Ecos en un Pueblo Fantasma,15900,14310,Editorial Planeta Chilena S.A.,0.10,Libro Físico,Edo Caroe Y Manuel Ugalde,https://www.buscalibre.cl/libro-ecos-en-un-pueblo-fantasma/9789564086569/p/62994367,Español,180,9789564086569,Chile,Tapa Blanda,2024,13.00,0.00,Sociedad y ciencias sociales,0,0.0,Libro Nuevo,83,https://images.cdn3.buscalibre.com/fit-in/360x360/f3/45/f3457dda883ec7d9d667bf838365aee8.jpg
La Clase de Griego,16000,13600,Random House,0.15,Libro Físico,Han Kang,https://www.buscalibre.cl/libro-la-clase-de-griego/9789566248170/p/55682908,Español,176,9789566248170,Chile,Tapa Blanda,2023,14.00,23.00,Ficción moderna y contemporánea,1,5.0,Libro Nuevo,64,https://images.cdn1.buscalibre.com/fit-in/360x360/05/e2/05e261dcc1cdf8957aa965603c552375.jpg
La asistenta,17000,14450,Suma,0.15,Libro Físico,Freida McFadden,https://www.buscalibre.cl/libro-la-asistenta/9789566190288/p/55968555,Español,344,9789566190288,Chile,Tapa Blanda,2024,22.00,15.00,Thrillers psicológicos,46,4.5,Libro Nuevo,100,https://images.cdn2.buscalibre.com/fit-in/360x360/f2/61/f261ec0717d823439ddf47bedc1323fe.jpg
Tiempos Gloriosos / Glorious Times,20000,4000,"Plaza & Janes Editores, S.A.",0.80,Libro Físico,Anne Jacobs,https://www.buscalibre.cl/libro-tiempos-gloriosos-glorious-times/9788401024702/p/52407079,Español,624,9788401024702,Chile,Tapa Blanda,2020,22.90,15.10,Alemania; C. 1990-c. 1999; Ficción histórica; Ficción moderna y contemporánea; Novelas de amor históricas; Segunda guerra mundial; Segunda guerra mundial - (c. 1939-c. 1945),10,5.0,Libro Nuevo,71,https://images.cdn2.buscalibre.com/fit-in/360x360/73/e5/73e5d2d8abde81cc529e2488280e822f.jpg
Nexus,26000,22100,Penguin Random House Grupo Editorial,0.15,Libro Físico,Yuval Noah Harari,https://www.buscalibre.cl/libro-nexus/9789566247715/p/62978992,Español,602,9789566247715,Chile,Tapa Blanda,2024,23.00,0.00,"Ciencias económicas sobre finanzas, empresa y gestión; Computación y tecnología de la información; Tecnología, ingeniería, agricultura, procesos industriales",0,0.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/fa/c6/fac68e15de5ad45fa2056ac9773cb5ed.jpg
Alquimia para los tiempos que corren,15000,13500,AGUILAR,0.10,Libro Físico,Lita Donoso,https://www.buscalibre.cl/libro-alquimia-para-los-tiempos-que-corren/9789566289203/p/63164275,Español,132,9789566289203,Chile,Tapa Blanda,2024,23.00,15.00,Autoayuda y desarrollo personal,0,0.0,Libro Nuevo,58,https://images.cdn1.buscalibre.com/fit-in/360x360/4f/f3/4ff3542154e433df15b056762ad73e74.jpg
Horóscopo Chino 2025,18000,15300,Penguin Random House Grupo Editorial,0.15,Libro Físico,Ángeles Lasso,https://www.buscalibre.cl/libro-horoscopo-chino-2025/9789569998294/p/62726913,Español,416,9789569998294,Chile,Tapa Blanda,2024,23.00,15.00,Signos del zodíaco y horóscopos,0,0.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/0a/5a/0a5af85483ab66a2dfc279820e21f6a2.jpg
La Hora Azul,21900,19710,Editorial Planeta Chilena S.A.,0.10,Libro Físico,Hawkins Paula,https://www.buscalibre.cl/libro-la-hora-azul/9789564086606/p/62994375,Español,456,9789564086606,Chile,Tapa Blanda,2024,15.00,23.00,Novela negra,0,0.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/e9/5c/e95c5337e38b45378dfc42b8bc610251.jpg
Romper el Hielo,20000,11370,Penguin Random House Grupo Editorial,0.43,Libro Físico,Hannah Grace,https://www.buscalibre.cl/libro-romper-el-hielo/9789566205999/p/55937261,Español,448,9789566205999,Chile,Tapa Blanda,2024,23.00,0.00,Novelas de amor contemporáneo; Novelas de amor erótico,4,5.0,Libro Nuevo,29,https://images.cdn3.buscalibre.com/fit-in/360x360/f4/e0/f4e0d7d57592158d9ecdee1cf73bff9d.jpg
"Muchas vidas, muchos maestros",11000,9350,B DE BOLSILLO,0.15,Libro Físico,Brian Weiss,https://www.buscalibre.cl/libro-muchas-vidas-muchos-maestros/9789877801750/p/53137939,Español,240,9789877801750,Chile,Tapa Blanda,2020,19.00,12.50,"Motivación, autoestima y actitud positiva; Reencarnación y vidas pasadas",20,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/eb/86/eb86698f3bb556d5054afd670baee3fe.jpg
Alas de Hierro (Empíreo 2),27900,20930,Planeta,0.25,Libro Físico,Rebecca Yarros,https://www.buscalibre.cl/libro-alas-de-hierro-empireo-2/9789564084961/p/55829433,Español,880,9789564084961,Chile,Tapa Blanda,2024,15.00,23.00,Fantasía romántica,58,4.5,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/e7/fe/e7fe5b09e38b810687bc57c87f9ffb58.jpg
El Libro de los Dias,35000,7000,Lumen,0.80,Libro Físico,Patti Smith,https://www.buscalibre.cl/libro-el-libro-de-los-dias/9788426424471/p/54527580,Español,390,9788426424471,Chile,Tapa Blanda,2023,23.20,15.50,Autobiografías de escritores; Fotógrafos,1,5.0,Libro Nuevo,73,https://images.cdn1.buscalibre.com/fit-in/360x360/ae/30/ae30ab0ae2dcf0e846780baec78a0b37.jpg
El Libro de Bill,15900,13520,Planeta,0.15,Libro Físico,Alex Hirsch,https://www.buscalibre.cl/libro-el-libro-de-bill/9789564085937/p/62032756,Español,208,9789564085937,Chile,Tapa Blanda,2024,17.00,24.00,Ficción infantil y juvenil: terror y suspense,43,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/12/79/12798b635e427e9becdf113d914fcb87.jpg
Powerless,21926,14250,Penguin Random House,0.35,Libro Físico,Lauren Roberts,https://www.buscalibre.cl/libro-powerless/9786287659483/p/56624129,Español,600,9786287659483,Chile,Tapa Blanda,2024,15.00,21.00,"Fantasía, Ciencia Ficción",15,4.5,Libro Nuevo,31,https://images.cdn3.buscalibre.com/fit-in/360x360/45/b5/45b589d58797bc8060db47997bc0e41d.jpg
Keeping 13 (Los chicos de Tommen 2),54340,27170,Montena,0.50,Libro Físico,Chloe Walsh,https://www.buscalibre.cl/libro-keeping-13-los-chicos-de-tommen-2/9788419746993/p/55853628,Español,704,9788419746993,Chile,Tapa Blanda,2024,21.50,14.30,Cuestiones sobre relaciones romances y amor; Ficción infantil y juvenil: deportiva; Ficción infantil y juvenil: escolar; Ficción infantil y juvenil: general; Ficción infantil y juvenil: romántica,22,5.0,Libro Nuevo,9,https://images.cdn1.buscalibre.com/fit-in/360x360/b9/53/b953893e82ccfc5262ee0ccb2583ee27.jpg
Deja de ser tú,21000,17850,Ediciones Urano S.A.,0.15,Libro Físico,Joe Dispenza,https://www.buscalibre.cl/libro-deja-de-ser-tu/9789566196181/p/54451155,Español,352,9789566196181,Chile,Tapa Blanda,2022,23.00,15.00,Autoayuda y desarrollo personal,43,5.0,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/0b/7e/0b7eb0dc99d056d736e272290f8baadf.jpg
Meditaciones,9000,7650,Edaf,0.15,Libro Físico,Marcus Aurelius,https://www.buscalibre.cl/libro-meditaciones/9788441440272/p/53034673,Español,176,9788441440272,Chile,Tapa Blanda,2020,20.80,13.00,Biografías; Filosofía antigua griega y romana,20,5.0,Libro Nuevo,75,https://images.cdn2.buscalibre.com/fit-in/360x360/cf/41/cf41f1cfab59718659862df4346b9b8c.jpg
Alas de Sangre (Empíreo 1),23900,17930,Planeta,0.25,Libro Físico,Rebecca Yarros,https://www.buscalibre.cl/libro-alas-de-sangre-empireo-1/9789564084268/p/55573725,Español,528,9789564084268,Chile,Tapa Blanda,2023,23.00,15.00,Fantasía,123,4.5,Libro Nuevo,100,https://images.cdn3.buscalibre.com/fit-in/360x360/3a/8b/3a8b469c3b4e6d649e307eb356b68d44.jpg
Una Corte de Niebla y Furia,24900,18680,Planeta,0.25,Libro Físico,Sarah J. Maas,https://www.buscalibre.cl/libro-una-corte-de-niebla-y-furia/9789564080079/p/53671143,Español,704,9789564080079,Chile,Tapa Blanda,2021,15.00,23.00,Ficción infantil  -  ficción juvenil: fantasía romántica; Ficción infantil y juvenil: general,33,5.0,Libro Nuevo,100,https://images.cdn1.buscalibre.com/fit-in/360x360/c2/c8/c2c8fba0b4289596529dfbfec30cfe6a.jpg
El Gato que Amaba los Libros,15000,12750,Grijalbo narrativa,0.15,Libro Físico,Sosuke Natsukawa,https://www.buscalibre.cl/libro-el-gato-que-amaba-los-libros/9789562586115/p/54312199,Español,256,9789562586115,Chile,Tapa Blanda,2022,16.00,23.00,Ficción literaria,38,5.0,Libro Nuevo,94,https://images.cdn1.buscalibre.com/fit-in/360x360/ff/92/ff921b4c86ae5a6d70d68b4e6500667d.jpg
